Date,GDP
2015-07-01,18295290.608695652
2015-07-02,18296484.02173913
2015-07-03,18297677.43478261
2015-07-04,18298870.847826086
2015-07-05,18300064.260869566
2015-07-06,18301257.673913043
2015-07-07,18302451.086956523
2015-07-08,18303644.5
2015-07-09,18304837.913043477
2015-07-10,18306031.326086957
2015-07-11,18307224.739130434
2015-07-12,18308418.152173914
2015-07-13,18309611.56521739
2015-07-14,18310804.97826087
2015-07-15,18311998.391304348
2015-07-16,18313191.804347824
2015-07-17,18314385.217391305
2015-07-18,18315578.63043478
2015-07-19,18316772.04347826
2015-07-20,18317965.45652174
2015-07-21,18319158.86956522
2015-07-22,18320352.282608695
2015-07-23,18321545.695652176
2015-07-24,18322739.108695652
2015-07-25,18323932.52173913
2015-07-26,18325125.93478261
2015-07-27,18326319.347826086
2015-07-28,18327512.760869566
2015-07-29,18328706.173913043
2015-07-30,18329899.586956523
2015-07-31,18331093.0
2015-08-01,18331346.032608695
2015-08-02,18331599.06521739
2015-08-03,18331852.097826086
2015-08-04,18332105.13043478
2015-08-05,18332358.163043477
2015-08-06,18332611.195652176
2015-08-07,18332864.22826087
2015-08-08,18333117.260869566
2015-08-09,18333370.29347826
2015-08-10,18333623.326086957
2015-08-11,18333876.358695652
2015-08-12,18334129.391304348
2015-08-13,18334382.423913043
2015-08-14,18334635.45652174
2015-08-15,18334888.489130434
2015-08-16,18335141.52173913
2015-08-17,18335394.554347824
2015-08-18,18335647.586956523
2015-08-19,18335900.61956522
2015-08-20,18336153.652173914
2015-08-21,18336406.68478261
2015-08-22,18336659.717391305
2015-08-23,18336912.75
2015-08-24,18337165.782608695
2015-08-25,18337418.81521739
2015-08-26,18337671.847826086
2015-08-27,18337924.88043478
2015-08-28,18338177.913043477
2015-08-29,18338430.945652176
2015-08-30,18338683.97826087
2015-08-31,18338937.010869566
2015-09-01,18339190.04347826
2015-09-02,18339443.076086957
2015-09-03,18339696.108695652
2015-09-04,18339949.141304348
2015-09-05,18340202.173913043
2015-09-06,18340455.20652174
2015-09-07,18340708.239130434
2015-09-08,18340961.27173913
2015-09-09,18341214.304347824
2015-09-10,18341467.336956523
2015-09-11,18341720.36956522
2015-09-12,18341973.402173914
2015-09-13,18342226.43478261
2015-09-14,18342479.467391305
2015-09-15,18342732.5
2015-09-16,18342985.532608695
2015-09-17,18343238.56521739
2015-09-18,18343491.597826086
2015-09-19,18343744.63043478
2015-09-20,18343997.663043477
2015-09-21,18344250.695652176
2015-09-22,18344503.72826087
2015-09-23,18344756.760869566
2015-09-24,18345009.79347826
2015-09-25,18345262.826086957
2015-09-26,18345515.858695652
2015-09-27,18345768.891304348
2015-09-28,18346021.923913043
2015-09-29,18346274.95652174
2015-09-30,18346527.989130434
2015-10-01,18346781.02173913
2015-10-02,18347034.054347824
2015-10-03,18347287.086956523
2015-10-04,18347540.11956522
2015-10-05,18347793.152173914
2015-10-06,18348046.18478261
2015-10-07,18348299.217391305
2015-10-08,18348552.25
2015-10-09,18348805.282608695
2015-10-10,18349058.31521739
2015-10-11,18349311.347826086
2015-10-12,18349564.38043478
2015-10-13,18349817.413043477
2015-10-14,18350070.445652176
2015-10-15,18350323.47826087
2015-10-16,18350576.510869566
2015-10-17,18350829.54347826
2015-10-18,18351082.576086957
2015-10-19,18351335.608695652
2015-10-20,18351588.641304348
2015-10-21,18351841.673913043
2015-10-22,18352094.70652174
2015-10-23,18352347.739130434
2015-10-24,18352600.77173913
2015-10-25,18352853.804347824
2015-10-26,18353106.836956523
2015-10-27,18353359.86956522
2015-10-28,18353612.902173914
2015-10-29,18353865.93478261
2015-10-30,18354118.967391305
2015-10-31,18354372.0
2015-11-01,18354967.195652176
2015-11-02,18355562.391304348
2015-11-03,18356157.586956523
2015-11-04,18356752.782608695
2015-11-05,18357347.97826087
2015-11-06,18357943.173913043
2015-11-07,18358538.36956522
2015-11-08,18359133.56521739
2015-11-09,18359728.760869566
2015-11-10,18360323.95652174
2015-11-11,18360919.152173914
2015-11-12,18361514.347826086
2015-11-13,18362109.54347826
2015-11-14,18362704.739130434
2015-11-15,18363299.93478261
2015-11-16,18363895.13043478
2015-11-17,18364490.326086957
2015-11-18,18365085.52173913
2015-11-19,18365680.717391305
2015-11-20,18366275.913043477
2015-11-21,18366871.108695652
2015-11-22,18367466.304347824
2015-11-23,18368061.5
2015-11-24,18368656.695652176
2015-11-25,18369251.891304348
2015-11-26,18369847.086956523
2015-11-27,18370442.282608695
2015-11-28,18371037.47826087
2015-11-29,18371632.673913043
2015-11-30,18372227.86956522
2015-12-01,18372823.06521739
2015-12-02,18373418.260869566
2015-12-03,18374013.45652174
2015-12-04,18374608.652173914
2015-12-05,18375203.847826086
2015-12-06,18375799.04347826
2015-12-07,18376394.239130434
2015-12-08,18376989.43478261
