CAPOP,Date
39080082.50684887,2015-07-01
39080783.83561599,2015-07-02
39081485.16438311,2015-07-03
39082186.493150234,2015-07-04
39082887.821917355,2015-07-05
39083589.150684476,2015-07-06
39084290.4794516,2015-07-07
39084991.80821872,2015-07-08
39085693.13698584,2015-07-09
39086394.46575296,2015-07-10
39087095.79452008,2015-07-11
39087797.1232872,2015-07-12
39088498.45205432,2015-07-13
39089199.78082144,2015-07-14
39089901.10958856,2015-07-15
39090602.438355684,2015-07-16
39091303.767122805,2015-07-17
39092005.095889926,2015-07-18
39092706.42465705,2015-07-19
39093407.75342417,2015-07-20
39094109.08219129,2015-07-21
39094810.41095841,2015-07-22
39095511.73972553,2015-07-23
39096213.06849265,2015-07-24
39096914.39725977,2015-07-25
39097615.72602689,2015-07-26
39098317.05479401,2015-07-27
39099018.383561134,2015-07-28
39099719.712328255,2015-07-29
39100421.041095376,2015-07-30
39101122.3698625,2015-07-31
39101823.69862962,2015-08-01
39102525.02739674,2015-08-02
39103226.35616386,2015-08-03
39103927.68493098,2015-08-04
39104629.0136981,2015-08-05
39105330.34246522,2015-08-06
39106031.67123234,2015-08-07
39106732.99999946,2015-08-08
39107434.328766584,2015-08-09
39108135.657533705,2015-08-10
39108836.986300826,2015-08-11
39109538.31506795,2015-08-12
39110239.64383507,2015-08-13
39110940.97260219,2015-08-14
39111642.30136931,2015-08-15
39112343.63013643,2015-08-16
39113044.95890355,2015-08-17
39113746.28767067,2015-08-18
39114447.61643779,2015-08-19
39115148.94520491,2015-08-20
39115850.273972034,2015-08-21
39116551.602739155,2015-08-22
39117252.931506276,2015-08-23
39117954.2602734,2015-08-24
39118655.58904052,2015-08-25
39119356.91780764,2015-08-26
39120058.24657476,2015-08-27
39120759.57534188,2015-08-28
39121460.904109,2015-08-29
39122162.23287612,2015-08-30
39122863.56164324,2015-08-31
39123564.89041036,2015-09-01
39124266.219177485,2015-09-02
39124967.547944605,2015-09-03
39125668.876711726,2015-09-04
39126370.20547885,2015-09-05
39127071.53424597,2015-09-06
39127772.86301309,2015-09-07
39128474.19178021,2015-09-08
39129175.52054733,2015-09-09
39129876.84931445,2015-09-10
39130578.17808157,2015-09-11
39131279.50684869,2015-09-12
39131980.835615814,2015-09-13
39132682.164382935,2015-09-14
39133383.493150055,2015-09-15
39134084.821917176,2015-09-16
39134786.1506843,2015-09-17
39135487.47945142,2015-09-18
39136188.80821854,2015-09-19
39136890.13698566,2015-09-20
39137591.46575278,2015-09-21
39138292.7945199,2015-09-22
39138994.12328702,2015-09-23
39139695.45205414,2015-09-24
39140396.780821264,2015-09-25
39141098.109588385,2015-09-26
