,DateTime,CAISO_HourlyLoad,California_HourlyLoad
0,2019-11-05 18:00:00-08:00,,34970
1,2019-11-05 17:00:00-08:00,,33327
2,2019-11-05 16:00:00-08:00,,31658
3,2019-11-05 15:00:00-08:00,25571.0,31631
4,2019-11-05 14:00:00-08:00,24774.0,30697
5,2019-11-05 13:00:00-08:00,23874.0,29641
6,2019-11-05 12:00:00-08:00,23628.0,29308
7,2019-11-05 11:00:00-08:00,23369.0,28910
8,2019-11-05 10:00:00-08:00,23379.0,28804
9,2019-11-05 09:00:00-08:00,23672.0,28994
10,2019-11-05 08:00:00-08:00,24216.0,29423
11,2019-11-05 07:00:00-08:00,23683.0,28634
12,2019-11-05 06:00:00-08:00,21658.0,26163
13,2019-11-05 05:00:00-08:00,20083.0,24242
14,2019-11-05 04:00:00-08:00,19582.0,23612
15,2019-11-05 03:00:00-08:00,19590.0,23630
16,2019-11-05 02:00:00-08:00,19997.0,24134
17,2019-11-05 01:00:00-08:00,20691.0,25015
18,2019-11-05 00:00:00-08:00,21637.0,26199
19,2019-11-04 23:00:00-08:00,23166.0,28068
20,2019-11-04 22:00:00-08:00,24991.0,30327
21,2019-11-04 21:00:00-08:00,26519.0,32183
22,2019-11-04 20:00:00-08:00,27615.0,33486
23,2019-11-04 19:00:00-08:00,28518.0,34582
24,2019-11-04 18:00:00-08:00,28724.0,34894
25,2019-11-04 17:00:00-08:00,27245.0,33227
26,2019-11-04 16:00:00-08:00,26279.0,32258
27,2019-11-04 15:00:00-08:00,25287.0,31234
28,2019-11-04 14:00:00-08:00,24450.0,30295
29,2019-11-04 13:00:00-08:00,23928.0,29653
30,2019-11-04 12:00:00-08:00,23293.0,28922
31,2019-11-04 11:00:00-08:00,23107.0,28641
32,2019-11-04 10:00:00-08:00,22848.0,28286
33,2019-11-04 09:00:00-08:00,23349.0,28688
34,2019-11-04 08:00:00-08:00,23860.0,29049
35,2019-11-04 07:00:00-08:00,23644.0,28560
36,2019-11-04 06:00:00-08:00,21536.0,25977
37,2019-11-04 05:00:00-08:00,19770.0,23853
38,2019-11-04 04:00:00-08:00,19065.0,22996
39,2019-11-04 03:00:00-08:00,18985.0,22910
40,2019-11-04 02:00:00-08:00,19276.0,23266
41,2019-11-04 01:00:00-08:00,19783.0,23898
42,2019-11-04 00:00:00-08:00,,21953
43,2019-11-03 23:00:00-08:00,,25516
44,2019-11-03 22:00:00-08:00,,27100
45,2019-11-03 21:00:00-08:00,,28592
46,2019-11-03 20:00:00-08:00,,29536
47,2019-11-03 19:00:00-08:00,,30341
48,2019-11-03 18:00:00-08:00,,30463
49,2019-11-03 17:00:00-08:00,,28771
50,2019-11-03 16:00:00-08:00,,27382
51,2019-11-03 15:00:00-08:00,,26224
52,2019-11-03 14:00:00-08:00,,25371
53,2019-11-03 13:00:00-08:00,,24819
54,2019-11-03 12:00:00-08:00,,24711
55,2019-11-03 11:00:00-08:00,,25040
56,2019-11-03 10:00:00-08:00,,25490
57,2019-11-03 09:00:00-08:00,,26033
58,2019-11-03 08:00:00-08:00,,26315
59,2019-11-03 07:00:00-08:00,,26051
60,2019-11-03 06:00:00-08:00,,25035
61,2019-11-03 05:00:00-08:00,,23814
62,2019-11-03 04:00:00-08:00,,23168
63,2019-11-03 03:00:00-08:00,,23143
64,2019-11-03 02:00:00-08:00,,23106
65,2019-11-03 01:00:00-08:00,19326.0,23215
66,2019-11-03 01:00:00-07:00,20168.0,24330
67,2019-11-03 00:00:00-07:00,21218.0,25716
68,2019-11-02 23:00:00-07:00,22521.0,27304
69,2019-11-02 22:00:00-07:00,23749.0,28813
70,2019-11-02 21:00:00-07:00,24528.0,29773
71,2019-11-02 20:00:00-07:00,25202.0,30573
72,2019-11-02 19:00:00-07:00,25312.0,30691
73,2019-11-02 18:00:00-07:00,23915.0,29069
74,2019-11-02 17:00:00-07:00,22623.0,27710
75,2019-11-02 16:00:00-07:00,21538.0,26576
76,2019-11-02 15:00:00-07:00,20773.0,25731
77,2019-11-02 14:00:00-07:00,20252.0,25151
78,2019-11-02 13:00:00-07:00,20162.0,25065
79,2019-11-02 12:00:00-07:00,20424.0,25412
80,2019-11-02 11:00:00-07:00,20863.0,25874
81,2019-11-02 10:00:00-07:00,21496.0,26436
82,2019-11-02 09:00:00-07:00,21998.0,26766
83,2019-11-02 08:00:00-07:00,21924.0,26485
84,2019-11-02 07:00:00-07:00,21058.0,25441
85,2019-11-02 06:00:00-07:00,20023.0,24168
86,2019-11-02 05:00:00-07:00,19459.0,23485
87,2019-11-02 04:00:00-07:00,19429.0,23436
88,2019-11-02 03:00:00-07:00,19714.0,23784
89,2019-11-02 02:00:00-07:00,20263.0,24450
90,2019-11-02 01:00:00-07:00,21033.0,25400
91,2019-11-02 00:00:00-07:00,,27026
92,2019-11-01 23:00:00-07:00,,28922
93,2019-11-01 22:00:00-07:00,,30776
94,2019-11-01 21:00:00-07:00,,32141
95,2019-11-01 20:00:00-07:00,,33150
96,2019-11-01 19:00:00-07:00,,33315
97,2019-11-01 18:00:00-07:00,,31774
98,2019-11-01 17:00:00-07:00,,30799
99,2019-11-01 16:00:00-07:00,,29771
100,2019-11-01 15:00:00-07:00,,28938
101,2019-11-01 14:00:00-07:00,,28200
102,2019-11-01 13:00:00-07:00,,27691
103,2019-11-01 12:00:00-07:00,,27894
104,2019-11-01 11:00:00-07:00,,28494
105,2019-11-01 10:00:00-07:00,,29351
106,2019-11-01 09:00:00-07:00,,30597
107,2019-11-01 08:00:00-07:00,,31288
108,2019-11-01 07:00:00-07:00,,29608
109,2019-11-01 06:00:00-07:00,,26536
110,2019-11-01 05:00:00-07:00,,24752
111,2019-11-01 04:00:00-07:00,,24140
112,2019-11-01 03:00:00-07:00,,24308
113,2019-11-01 02:00:00-07:00,,24883
114,2019-11-01 01:00:00-07:00,,25818
115,2019-11-01 00:00:00-07:00,21969.0,26561
116,2019-10-31 23:00:00-07:00,23483.0,28413
117,2019-10-31 22:00:00-07:00,24977.0,30229
118,2019-10-31 21:00:00-07:00,25691.0,31077
119,2019-10-31 20:00:00-07:00,26187.0,31653
120,2019-10-31 19:00:00-07:00,26640.0,32246
121,2019-10-31 18:00:00-07:00,25762.0,31311
122,2019-10-31 17:00:00-07:00,24565.0,30084
123,2019-10-31 16:00:00-07:00,23502.0,28960
124,2019-10-31 15:00:00-07:00,22792.0,28179
125,2019-10-31 14:00:00-07:00,22403.0,27776
126,2019-10-31 13:00:00-07:00,22182.0,27542
127,2019-10-31 12:00:00-07:00,22521.0,27932
128,2019-10-31 11:00:00-07:00,23183.0,28632
129,2019-10-31 10:00:00-07:00,24105.0,29590
130,2019-10-31 09:00:00-07:00,25159.0,30650
131,2019-10-31 08:00:00-07:00,25627.0,31039
132,2019-10-31 07:00:00-07:00,24027.0,29106
133,2019-10-31 06:00:00-07:00,21518.0,26000
134,2019-10-31 05:00:00-07:00,20118.0,24291
135,2019-10-31 04:00:00-07:00,19593.0,23669
136,2019-10-31 03:00:00-07:00,19757.0,23871
137,2019-10-31 02:00:00-07:00,20154.0,24360
138,2019-10-31 01:00:00-07:00,20882.0,25253
139,2019-10-31 00:00:00-07:00,21974.0,26608
140,2019-10-30 23:00:00-07:00,23643.0,28682
141,2019-10-30 22:00:00-07:00,25382.0,30787
142,2019-10-30 21:00:00-07:00,26484.0,32129
143,2019-10-30 20:00:00-07:00,27218.0,32979
144,2019-10-30 19:00:00-07:00,27112.0,32827
145,2019-10-30 18:00:00-07:00,25425.0,30946
146,2019-10-30 17:00:00-07:00,24079.0,29538
147,2019-10-30 16:00:00-07:00,22931.0,28349
148,2019-10-30 15:00:00-07:00,22248.0,27627
149,2019-10-30 14:00:00-07:00,22035.0,27376
150,2019-10-30 13:00:00-07:00,21767.0,27112
151,2019-10-30 12:00:00-07:00,22262.0,27660
152,2019-10-30 11:00:00-07:00,22652.0,28060
153,2019-10-30 10:00:00-07:00,23075.0,28411
154,2019-10-30 09:00:00-07:00,24270.0,29659
155,2019-10-30 08:00:00-07:00,24739.0,30031
156,2019-10-30 07:00:00-07:00,23545.0,28512
157,2019-10-30 06:00:00-07:00,21194.0,25592
158,2019-10-30 05:00:00-07:00,20113.0,24216
159,2019-10-30 04:00:00-07:00,19662.0,23684
160,2019-10-30 03:00:00-07:00,19708.0,23754
161,2019-10-30 02:00:00-07:00,20020.0,24178
162,2019-10-30 01:00:00-07:00,20814.0,25129
163,2019-10-30 00:00:00-07:00,21914.0,26484
